accountid,amount,closedate,opportunityid,opportunity_creation_date__c,ownerid,primary_application__c,stagename,sales_team__c
0014v00002O684aAAB,180.33,4/13/2022,0064v00001wIPbTAAW,4/12/2022,0054v00000Ef8IuAAJ,Parts,Closed Won,HVS BOS
0014v00002fsYmGAAU,16984.73,5/31/2022,0064v00001wIITuAAO,4/6/2022,0054v00000Edh3RAAR,Support Structure,Project Quoted,HVS 5
0014v00002YQxnJAAT,3000,6/17/2022,0064v00001wIeTNAA0,4/22/2022,0056g0000049sqhAAA,Parts,Closed Lost,Strategic Sales
0014v00002fvFZfAAM,50000,8/31/2022,0064v00001wIjIZAA0,4/26/2022,0054v00000E5wVdAAJ,Custom Machines,Design Review,HVS 3
0014v00002bKmlqAAC,2878.44,4/26/2022,0064v00001wIhoyAAC,4/26/2022,0054v00000EdgdOAAR,Robot Pedestals & Bases,Closed Won,EMEA 1
0016g00000CWvj2AAD,230,4/27/2022,0064v00001wIkbRAAS,4/27/2022,0054v00000E76uVAAR,Support Structure,Closed Lost,HVS 4
0014v00002QoSSDAA3,2000,8/24/2022,0064v00001wIJiAAAW,4/7/2022,0056g0000049sqkAAA,AGV Top Modules,Project Quoted,Strategic Sales
0016g00000PunUnAAJ,20000,5/27/2022,0064v00001wISCMAA4,4/13/2022,0054v00000E76uBAAR,Robot Range Extender,Closed Lost,HVS 4
0014v00002KCvsZAAT,120.08,4/12/2022,0064v00001wIQDIAA4,4/12/2022,0056g0000050osWAAQ,Custom Machines,Closed Won,HVS 3
0016g00000CWw2FAAT,25000,8/31/2022,0064v00001wIJldAAG,4/7/2022,0056g0000050osWAAQ,Robotic Tending Cells,Prospect,HVS 3
0014v00002fvASjAAM,0,6/30/2022,0064v00001wIhnvAAC,4/26/2022,0054v00000EfQRfAAN,Parts,Closed Lost,EMEA 2
0014v00002dMmDeAAK,5000,7/29/2022,0064v00001wIhoZAAS,4/26/2022,0054v00000EdgdOAAR,Support Structure,Design Review,EMEA 1
0016g00000Lyq6YAAR,4090.94,4/28/2022,0064v00001wIi5JAAS,4/26/2022,0056g0000049sqgAAA,Industrial Carts,Closed Won,Strategic Sales
0014v00002fsunhAAA,1400.52,5/2/2022,0064v00001wIi7PAAS,4/26/2022,0054v00000E6aXFAAZ,Robot Pedestals & Bases,Closed Won,HVS 3
0016g00000FbblNAAR,3000,7/31/2022,0064v00001wImYoAAK,4/28/2022,0054v00000E6aXjAAJ,Support Structure,Closed Lost,HVS 4
0014v00002hDCYvAAO,10000,7/29/2022,0064v00001wImjmAAC,4/28/2022,0054v00000E76u6AAB,Gantry Robot,Closed Lost,HVS 2
0016g00000CWuyzAAD,5000,9/30/2022,0064v00001wImmWAAS,4/28/2022,0054v00000E76uGAAR,Shelves & Racks,Prospect,HVS 2
0014v00002Ni3tkAAB,594.4,4/12/2022,0064v00001wIQ0sAAG,4/12/2022,0054v00000EEeP5AAL,Parts,Closed Won,HVS 1
0014v00002SUuNuAAL,100,6/30/2022,0064v00001wIicIAAS,4/26/2022,0054v00000EEeOqAAL,Parts,Closed Lost,HVS 2
0014v00002ftWs4AAE,1000,7/31/2022,0064v00001wIS4rAAG,4/13/2022,0054v00000E6aXUAAZ,Jigs & Fixtures,Project Discovery,HVS 3
0016g00000CWwBvAAL,169.67,4/26/2022,0064v00001wIRh9AAG,4/13/2022,0054v00000EfS0lAAF,Custom Machines,Closed Won,HVS 5
0016g00000FbbF3AAJ,10000,5/31/2022,0064v00001wIh94AAC,4/25/2022,0054v00000Ef8IGAAZ,Industrial Carts,Closed Lost,HVS 4
0016g00000CWvqqAAD,1000,5/31/2022,0064v00001wIbB4AAK,4/20/2022,0054v00000EEeP5AAL,Safety Enclosures,Closed Lost,HVS 1
0014v00002ftX7PAAU,605.35,4/13/2022,0064v00001wISD0AAO,4/13/2022,0054v00000EfDW3AAN,Parts,Closed Won,HVS BOS
0016g00000CYuB1AAL,1400.27,4/22/2022,0064v00001wIPitAAG,4/12/2022,0054v00000E76u6AAB,Workstations,Closed Won,HVS 2
0014v00002eVMEjAAO,50588,5/3/2022,0064v00001wIcI5AAK,4/21/2022,0054v00000Edh2nAAB,Conveyors,Closed Won,EMEA 1
0014v00002KGEx6AAH,400.08,4/19/2022,0064v00001wIYaxAAG,4/19/2022,0054v00000EIPPIAA5,Parts,Closed Won,HVS 2
0016g00000CWv5QAAT,5236.2,6/16/2022,0064v00001wImqdAAC,4/28/2022,0054v00000EeKcGAAV,Parts,Closed Won,HVS 3
0016g00000CWvifAAD,50000,5/31/2022,0064v00001wImuCAAS,4/28/2022,0054v00000E76uVAAR,Bin Picking,Closed Lost,HVS 4
0016g00000CZT0RAAX,1033.2,7/30/2022,0064v00001wITJnAAO,4/14/2022,0056g0000056q5dAAA,Robot Pedestals & Bases,Project Quoted,Strategic Sales
0014v00002fsZcgAAE,1000,6/30/2022,0064v00001wIIdLAAW,4/6/2022,0054v00000EeKcGAAV,Workstations,Closed Lost,HVS 3
0016g00000BVyFOAA1,50000,9/30/2022,0064v00001wIaUqAAK,4/20/2022,0054v00000EIPPIAA5,Robotic Tending Cells,Project Discovery,HVS 2
0014v00002Ja4dIAAR,7000,7/31/2022,0064v00001wIc9hAAC,4/21/2022,0054v00000EeqrNAAR,Robot Pedestals & Bases,Awaiting Purchase,EMEA 2
0014v00002LA2hbAAD,216.26,4/21/2022,0064v00001wIcLIAA0,4/21/2022,0054v00000EeqrNAAR,Parts,Closed Won,EMEA 2
0016g00000CYv92AAD,100000,8/31/2022,0064v00001wId77AAC,4/21/2022,0054v00000E5wUpAAJ,Industrial Robot (Standalone),Project Discovery,HVS 1
0016g00000CWvodAAD,383.79,4/12/2022,0064v00001wIPgYAAW,4/12/2022,0056g0000050osWAAQ,Robot Range Extender,Closed Won,HVS 3
0016g00000BVyIFAA1,7500,6/20/2022,0064v00001wIMAvAAO,4/8/2022,0056g00000511ReAAI,Support Structure,Closed Lost,HVS 1
0014v00002YTCC1AAP,3456.93,4/20/2022,0064v00001wISHlAAO,4/13/2022,0054v00000E76uVAAR,Jigs & Fixtures,Closed Won,HVS 4
0016g00000BVxAlAAL,200.55,4/13/2022,0064v00001wIRSiAAO,4/13/2022,0056g00000511ReAAI,Parts,Closed Won,HVS 1
0014v00002ftLZyAAM,4000,5/31/2022,0064v00001wIPjDAAW,4/12/2022,0054v00000EeqrNAAR,Shelves & Racks,Closed Lost,EMEA 2
0016g00000CWvuxAAD,104.25,4/21/2022,0064v00001wIcaSAAS,4/21/2022,0054v00000E6aXUAAZ,Parts,Closed Won,HVS 3
0014v00002fsZMxAAM,8500,6/30/2022,0064v00001wIIa2AAG,4/6/2022,0054v00000E6aXFAAZ,Robot Range Extender,Project Discovery,HVS 3
0014v00002fvAWbAAM,50000,9/30/2022,0064v00001wIhrdAAC,4/26/2022,0054v00000EdgdOAAR,Robotic Tending Cells,Prospect,EMEA 1
0016g00000BVy7fAAD,65.05,4/8/2022,0064v00001wILMTAA4,4/8/2022,0054v00000EIPPhAAP,Parts,Closed Won,HVS 2
0014v00002JiLy6AAF,7091.03,5/20/2022,0064v00001wIl15AAC,4/27/2022,0056g0000049sqkAAA,Jigs & Fixtures,Closed Won,Strategic Sales
0014v00002ftcBdAAI,10000,8/31/2022,0064v00001wISy7AAG,4/14/2022,0054v00000EdgdTAAR,Robotic Tending Cells,Project Discovery,EMEA 2
0014v00002eYKg7AAG,7979.6,4/26/2022,0064v00001wIbyKAAS,4/21/2022,0054v00000Edh2nAAB,Robotic Tending Cells,Closed Won,EMEA 1
0016g00000CWumFAAT,1264.01,5/4/2022,0064v00001wIeF1AAK,4/22/2022,0054v00000E76uaAAB,Support Structure,Closed Won,HVS 4
0014v00002fujNZAAY,11147.92,5/11/2022,0064v00001wIeoLAAS,4/22/2022,0054v00000Ef8IVAAZ,Support Structure,Closed Won,HVS BOS
0016g00000CWvH6AAL,295.05,4/27/2022,0064v00001wIlZbAAK,4/27/2022,0054v00000Ef8I1AAJ,Parts,Closed Won,HVS 2
0014v00002ftOxyAAE,150000,10/28/2022,0064v00001wIQPxAAO,4/12/2022,0054v00000Edh3HAAR,Cobot Palletizer,Closed Lost,HVS 1
0014v00002ftWePAAU,30000,6/30/2022,0064v00001wITVnAAO,4/14/2022,0054v00000E76uBAAR,Custom Machines,Closed Lost,HVS 4
0014v00002YT8w3AAD,1150.74,5/17/2022,0064v00001wIe7JAAS,4/22/2022,0054v00000E6aXFAAZ,Industrial Carts,Closed Won,HVS 3
0014v00002O684aAAB,26814.22,9/30/2022,0064v00001wIU7YAAW,4/14/2022,0054v00000Ef8IuAAJ,Custom Machines,Project Quoted,HVS BOS
0014v00002fuiteAAA,2500,6/30/2022,0064v00001wIh3LAAS,4/25/2022,0054v00000Ef8J4AAJ,Custom Machines,Closed Lost,HVS BOS
0014v00002dNeDmAAK,150000,12/30/2022,0064v00001wIi0FAAS,4/26/2022,0054v00000Ef8IGAAZ,Cobot Palletizer,Prospect,HVS 4
0016g00000BVvyxAAD,3041.8,4/19/2022,0064v00001wIXYmAAO,4/18/2022,0056g00000572OUAAY,Parts,Closed Won,HVS 1
0016g00000CWvjvAAD,80.33,4/28/2022,0064v00001wImJlAAK,4/28/2022,0054v00000E5wVTAAZ,Parts,Closed Won,HVS 3
0014v00002fu7OCAAY,100,6/30/2022,0064v00001wIXQJAA4,4/18/2022,0054v00000E76uaAAB,Collaborative Robot (Standalone),Closed Lost,HVS 4
0016g00000CWw31AAD,20000,8/31/2022,0064v00001wITJdAAO,4/14/2022,0056g00000511ReAAI,Gantry Robot,Design Review,HVS 1
0016g00000CWw9CAAT,7646.62,7/14/2022,0064v00001wIgofAAC,4/25/2022,0056g0000049sqkAAA,Robot Pedestals & Bases,Project Quoted,Strategic Sales
0014v00002WHadgAAD,886.62,5/23/2022,0064v00001wIh07AAC,4/25/2022,0054v00000Ef8IfAAJ,Workstations,Closed Won,HVS BOS
0016g00000CYvARAA1,10000,7/29/2022,0064v00001wIhNkAAK,4/25/2022,0054v00000Edh3HAAR,Support Structure,Project Quoted,HVS 1
0014v00002TituFAAR,150000,7/29/2022,0064v00001wIhfKAAS,4/25/2022,0054v00000EfS0vAAF,Cobot Palletizer,Prospect,HVS 5
0016g00000g6tULAAY,100000,8/31/2022,0064v00001wIiexAAC,4/26/2022,0056g00000572OUAAY,Custom Machines,Project Discovery,HVS 1
0016g00000CWwC0AAL,1949.62,5/18/2022,0064v00001wIIXIAA4,4/6/2022,0056g0000049sqhAAA,Industrial Carts,Closed Won,Strategic Sales
0014v00002fvAWbAAM,25000,9/30/2022,0064v00001wIhrEAAS,4/26/2022,0054v00000EdgdOAAR,Robot Range Extender,Prospect,EMEA 1
0014v00002fsKWyAAM,100000,7/25/2022,0064v00001wILv4AAG,4/8/2022,0054v00000EfS0vAAF,Cartesian Palletizer,Closed Lost,HVS 5
0014v00002frJqOAAU,50000,8/31/2022,0064v00001wIIYBAA4,4/6/2022,0054v00000E6aXUAAZ,Robotic Tending Cells,Project Discovery,HVS 3
0014v00002YRfNXAA1,16000,11/30/2022,0064v00001wIOt8AAG,4/11/2022,0054v00000EfDVoAAN,Custom Machines,Project Discovery,HVS 5
0016g00000BVwczAAD,50000,8/31/2022,0064v00001wIMFgAAO,4/8/2022,0056g00000572OUAAY,Custom Machines,Project Discovery,HVS 1
0016g00000BVvzUAAT,188.86,4/11/2022,0064v00001wIOtNAAW,4/11/2022,0054v00000Ef8IGAAZ,Parts,Closed Won,HVS 4
0014v00002eVbdCAAS,100000,8/31/2022,0064v00001wIIgUAAW,4/6/2022,0054v00000Ef8IfAAJ,Industrial Robot (Standalone),Project Discovery,HVS BOS
0016g00000JMLbJAAX,12093.77,4/29/2022,0064v00001wIaA7AAK,4/20/2022,0054v00000E5wUpAAJ,Gantry Robot,Closed Won,HVS 1
0014v00002ST6XwAAL,9267.12,4/21/2022,0064v00001wIcVIAA0,4/21/2022,0054v00000EEeOqAAL,Robot Pedestals & Bases,Closed Won,HVS 2
0014v00002eWk5yAAC,200000,7/31/2022,0064v00001wIZ3tAAG,4/19/2022,0054v00000EfDVZAA3,Cobot Palletizer,Design Review,HVS 1
0014v00002fuFzCAAU,160000,1/20/2023,0064v00001wInBiAAK,4/28/2022,0056g0000049sqhAAA,Cobot Palletizer,Prospect,Strategic Sales
0014v00002dNONJAA4,16681.2,5/19/2022,0064v00001wInEDAA0,4/28/2022,0054v00000Ef8IfAAJ,Gantry Robot,Closed Won,HVS BOS
0016g00000CWw0qAAD,5348.91,4/28/2022,0064v00001wInIAAA0,4/28/2022,0056g0000056q5dAAA,Industrial Carts,Closed Won,Strategic Sales
0016g00000BVxNKAA1,883.2,4/28/2022,0064v00001wInJIAA0,4/28/2022,0056g0000056q5dAAA,Parts,Closed Won,Strategic Sales
0016g00000CWvjyAAD,2107.48,5/5/2022,0064v00001wIJhMAAW,4/7/2022,0056g0000050osWAAQ,Workstations,Closed Won,HVS 3
0016g00000g91u3AAA,1642.98,4/20/2022,0064v00001wITC5AAO,4/14/2022,0054v00000EdgdTAAR,Workstations,Closed Won,EMEA 2
0016g00000BVwdNAAT,2000,7/31/2022,0064v00001wITCtAAO,4/14/2022,0054v00000EdgdTAAR,Workstations,Project Discovery,EMEA 2
0014v00002TiolHAAR,50000,6/30/2022,0064v00001wITWWAA4,4/14/2022,0054v00000EfS0lAAF,Robotic Tending Cells,Closed Lost,HVS 5
0016g00000CWvl7AAD,190.05,4/6/2022,0064v00001wII3mAAG,4/6/2022,0056g0000049sqhAAA,Case Packing,Closed Won,Strategic Sales
0014v00002WGMz1AAH,70000,7/31/2022,0064v00001wIRlVAAW,4/13/2022,0054v00000E5wUpAAJ,Gantry Robot,Project Discovery,HVS 1
0014v00002ftdpgAAA,30000,5/31/2022,0064v00001wITYgAAO,4/14/2022,0054v00000E5wVdAAJ,Collaborative Robot (Standalone),Closed Lost,HVS 3
0014v00002eZCw7AAG,24000,4/30/2022,0064v00001wIaE4AAK,4/20/2022,0054v00000Eev0xAAB,Gantry Robot,Closed Lost,EMEA 1
0014v00002ftLIdAAM,60000,10/3/2022,0064v00001wIPbYAAW,4/12/2022,0054v00000EdgdTAAR,Custom Machines,Design Review,EMEA 2
0014v00002bKazWAAS,1167,4/28/2022,0064v00001wIj8jAAC,4/26/2022,0054v00000EfS10AAF,Parts,Closed Won,HVS 5
0014v00002fvIyFAAU,2000,6/8/2022,0064v00001wIjpWAAS,4/27/2022,0054v00000EdgdTAAR,Workstations,Closed Lost,EMEA 2
0014v00002WGfuRAAT,2605.1,4/28/2022,0064v00001wIkjaAAC,4/27/2022,0054v00000E76uBAAR,Parts,Closed Won,HVS 4
0014v00002dOPm6AAG,5163.29,4/7/2022,0064v00001wIJvJAAW,4/7/2022,0054v00000Edh2nAAB,Parts,Closed Won,EMEA 1
0016g00000CWvigAAD,996.43,4/13/2022,0064v00001wIILWAA4,4/6/2022,0054v00000EEeO8AAL,Jigs & Fixtures,Closed Won,HVS 4
0016g00000BVxT8AAL,7000,10/31/2022,0064v00001wIRvBAAW,4/13/2022,0054v00000E76uBAAR,Support Structure,Design Review,HVS 4
0016g00000CWvQ9AAL,804.73,4/29/2022,0064v00001wIPiZAAW,4/12/2022,0056g00000511ReAAI,Support Structure,Closed Won,HVS 1
0014v00002hDHIhAAO,8000,6/30/2022,0064v00001wInfgAAC,4/29/2022,0054v00000Edh2nAAB,Robotic Tending Cells,Closed Lost,EMEA 1
0016g00000P4ASkAAN,187,4/19/2022,0064v00001wIYl2AAG,4/19/2022,0054v00000EEeO8AAL,Parts,Closed Won,HVS 4
0014v00002O3ppSAAR,150000,1/31/2023,0064v00001wIkygAAC,4/27/2022,0054v00000E6aXUAAZ,Cobot Palletizer,Prospect,HVS 3
0014v00002fsiEAAAY,2479.46,5/11/2022,0064v00001wIJuGAAW,4/7/2022,0054v00000EfDVyAAN,Workstations,Closed Won,HVS BOS
0016g00000CWvQ9AAL,216.38,4/13/2022,0064v00001wIRV8AAO,4/13/2022,0056g00000511ReAAI,Parts,Closed Won,HVS 1
0014v00002dP9kSAAS,15407.82,9/30/2022,0064v00001wITsEAAW,4/14/2022,0054v00000Ef8XLAAZ,Conveyors,Project Quoted,HVS 5
0014v00002fsWHfAAM,8000,6/30/2022,0064v00001wIPc2AAG,4/12/2022,0054v00000E76u6AAB,Jigs & Fixtures,Closed Lost,HVS 2
0014v00002JiLy6AAF,1449.87,5/4/2022,0064v00001wITzUAAW,4/14/2022,0056g0000049sqkAAA,Jigs & Fixtures,Closed Won,Strategic Sales
0014v00002ftdNvAAI,1500,7/31/2022,0064v00001wITKgAAO,4/14/2022,0054v00000E5wUpAAJ,Robot Pedestals & Bases,Prospect,HVS 1
0016g00000CWuy4AAD,5000,9/30/2022,0064v00001wInz2AAC,4/29/2022,0054v00000E5wVTAAZ,Custom Machines,Project Discovery,HVS 3
0016g00000XcOZvAAN,300.83,4/12/2022,0064v00001wIQ1qAAG,4/12/2022,0054v00000EIPPhAAP,Parts,Closed Won,HVS 2
0014v00002fvRKWAA2,167.34,4/28/2022,0064v00001wIluHAAS,4/28/2022,0054v00000Eev0xAAB,Parts,Closed Won,EMEA 1
0016g00000BVyIFAA1,1056.92,4/22/2022,0064v00001wIeheAAC,4/22/2022,0054v00000E76uBAAR,Parts,Closed Won,HVS 4
0016g00000CWvuxAAD,753.44,4/28/2022,0064v00001wIYnSAAW,4/19/2022,0054v00000E6aXUAAZ,Jigs & Fixtures,Closed Won,HVS 3
0016g00000CWw30AAD,80000,8/31/2022,0064v00001wITELAA4,4/14/2022,0054v00000EIPPhAAP,Bin Picking,Project Quoted,HVS 2
0014v00002ftEtYAAU,50000,12/30/2022,0064v00001wIOZDAA4,4/11/2022,0054v00000EfDVZAA3,Conveyors,Design Review,HVS 1
0014v00002fuQHZAA2,150000,10/31/2022,0064v00001wIcmEAAS,4/21/2022,0054v00000Ef8IuAAJ,Cobot Palletizer,Project Discovery,HVS BOS
0014v00002bLHyNAAW,3000,12/30/2022,0064v00001tlUKhAAM,2/4/2022,0054v00000EeKcGAAV,Support Structure,Project Discovery,HVS 3
0014v00002JiLy6AAF,2783,1/25/2022,0064v00001tlD8uAAE,1/25/2022,0054v00000E7EDFAA3,Workstations,Closed Won,Strategic Sales
0016g00000CWvwWAAT,351.77,1/27/2022,0064v00001tlGLCAA2,1/27/2022,0054v00000E6aXjAAJ,Parts,Closed Won,HVS 4
0016g00000CWw1wAAD,1000,4/7/2022,0064v00001tmBD2AAM,3/2/2022,0054v00000Edh2nAAB,Workstations,Closed Lost,EMEA 1
0014v00002Qo69tAAB,732.13,5/4/2022,0064v00001tmBFwAAM,3/2/2022,0056g0000050h9EAAQ,Support Structure,Closed Won,EMEA 2
0014v00002O43zkAAB,3015.8,6/30/2021,0064v00001s6zRqAAI,6/5/2021,0054v00000E6Ga9AAF,Other Equipment - Other,Closed Won,Shark Tank
0014v00002JiwYvAAJ,4985.13,11/4/2021,0064v00001s8GcCAAU,7/23/2021,0056g0000049sqhAAA,Shelves & Racks,Closed Won,Strategic Sales
0016g00000VJaVaAAL,15000,3/15/2022,0064v00001tlMHCAA2,1/31/2022,0054v00000Ee0JdAAJ,Robot Range Extender,Closed Lost,HVS 2
0016g00000CWwBxAAL,150000,8/19/2022,0064v00001tlMRHAA2,1/31/2022,0056g00000511ReAAI,Cobot Palletizer,Design Review,HVS 1
0016g00000g6a2NAAQ,791.7,1/31/2022,0064v00001tlMVTAA2,1/31/2022,0054v00000Edh2nAAB,Parts,Closed Won,EMEA 1
0014v00002QoZHLAA3,2217.5,2/22/2022,0064v00001tlMfEAAU,1/31/2022,0054v00000E76uLAAR,Parts,Closed Won,HVS 5
0014v00002bMqtrAAC,740.98,3/8/2022,0064v00001tmJA7AAM,3/7/2022,0054v00000EeKcGAAV,Parts,Closed Won,HVS 3
0016g00000CWvk0AAD,3987.22,2/16/2022,0064v00001tlgodAAA,2/11/2022,0056g0000050osWAAQ,Workstations,Closed Won,HVS 3
0016g00000CWw8eAAD,141.39,7/19/2021,0064v00001s8V4MAAU,8/3/2021,0056g0000056q5dAAA,Other Equipment - Other,Closed Won,Strategic Sales
0014v00002dNeISAA0,1139.57,2/24/2022,0064v00001tlaJkAAI,2/9/2022,0054v00000EeqrNAAR,Shelves & Racks,Closed Won,EMEA 2
0014v00002ThZieAAF,3200,4/29/2022,0064v00001tlSNQAA2,2/3/2022,0054v00000E76u6AAB,Conveyors,Closed Lost,HVS 2
0016g00000FbblNAAR,1500,3/22/2022,0064v00001tmD2yAAE,3/2/2022,0054v00000EEeORAA1,Robot Pedestals & Bases,Closed Lost,HVS 4
0014v00002bNy30AAC,800,3/12/2022,0064v00001tlaXhAAI,2/9/2022,0054v00000E6aXFAAZ,Jigs & Fixtures,Closed Lost,HVS 3
0014v00002bLoUmAAK,38000,8/31/2022,0064v00001tlcRNAAY,2/10/2022,0054v00000Edh3HAAR,Robotic Tending Cells,Design Review,HVS 1
0014v00002KEnYIAA1,5000,6/30/2022,0064v00001s75ZVAAY,6/9/2021,0056g00000572OUAAY,Other Equipment - Other,Closed Lost,HVS 1
0014v00002dMmDeAAK,10000,5/31/2022,0064v00001tlaMFAAY,2/9/2022,0054v00000EdgdOAAR,Custom Machines,Closed Lost,EMEA 1
0016g00000CWv5NAAT,1,3/31/2022,0064v00001tlcg8AAA,2/10/2022,0054v00000Edh3RAAR,Parts,Closed Lost,HVS 5
0014v00002ThZZ8AAN,318.94,3/11/2022,0064v00001tmPaeAAE,3/11/2022,0054v00000Ee1TPAAZ,Parts,Closed Won,EMEA 1
0016g00000CWuqNAAT,30000,3/23/2022,0064v00001tm8YuAAI,2/28/2022,0054v00000EIPPhAAP,Conveyors,Closed Lost,HVS 2
0016g00000FbblNAAR,3179.93,3/23/2022,0064v00001tmD3IAAU,3/2/2022,0054v00000EEeORAA1,Jigs & Fixtures,Closed Won,HVS 4
0014v00002eVRmgAAG,100000,6/30/2022,0064v00001tmDPJAA2,3/2/2022,0054v00000E76uGAAR,Cobot Palletizer,Closed Lost,HVS 2
0014v00002LAcldAAD,,6/30/2021,0064v00001s7GOUAA2,6/16/2021,0054v00000E6Ga9AAF,,Prospect,Shark Tank
0014v00002O5RctAAF,313.04,6/17/2021,0064v00001s7H8zAAE,6/17/2021,0054v00000E5wVdAAJ,Other Equipment - Other,Closed Won,HVS 3
0014v00002YRSMWAA5,100000,8/31/2022,0064v00001tlP1yAAE,2/1/2022,0054v00000EIPPhAAP,Dispensing,Project Quoted,HVS 2
0016g00000CWvlZAAT,1500,7/30/2021,0064v00001s7UFkAAM,6/25/2021,0056g00000573QOAAY,Industrial Carts,Closed Lost,HVS 1
0014v00002NieZIAAZ,508.02,7/23/2021,0064v00001s7YMIAA2,6/29/2021,0056g00000573QOAAY,Other Equipment - Other,Closed Won,HVS 1
0014v00002O6gugAAB,12000,1/31/2022,0064v00001s7YZgAAM,6/29/2021,0054v00000EIPPIAA5,Jigs & Fixtures,Closed Lost,HVS 2
0014v00002QmX8qAAF,1300,9/30/2021,0064v00001s883ZAAQ,7/19/2021,0054v00000E6aXjAAJ,Workstations,Closed Lost,HVS 4
0014v00002bMJvnAAG,17817.09,2/23/2022,0064v00001tlEmBAAU,1/26/2022,0054v00000Edh3RAAR,Parts,Closed Lost,HVS 5
0014v00002YTLEXAA5,8900,7/31/2022,0064v00001tm8rIAAQ,2/28/2022,0054v00000E6aXUAAZ,Custom Machines,Project Quoted,HVS 3
0016g00000CWvwUAAT,2928.92,1/28/2022,0064v00001tlJCVAA2,1/28/2022,0056g0000056q5dAAA,Robotic Tending Cells,Closed Won,Strategic Sales
0014v00002O4mvRAAR,5057.95,2/11/2022,0064v00001tlh13AAA,2/11/2022,0056g00000511ReAAI,Industrial Carts,Closed Won,HVS 1
0014v00002O3nylAAB,85000,2/28/2022,0064v00001s71KrAAI,6/7/2021,0054v00000EEeO8AAL,Conveyors,Closed Lost,HVS 4
0014v00002O57SvAAJ,10000,9/30/2021,0064v00001s7CCoAAM,6/14/2021,0054v00000EEeONAA1,Robot Range Extender,Closed Lost,HVS 4
0016g00000CWv5NAAT,1,2/10/2022,0064v00001tlcg9AAA,2/10/2022,0054v00000Edh3RAAR,Parts,Closed Lost,HVS 5
0014v00002O7YNoAAN,4022.8,7/20/2021,0064v00001s8AlzAAE,7/20/2021,0054v00000EEeO8AAL,Workstations,Closed Won,HVS 4
0014v00002QmIq2AAF,5000,8/31/2021,0064v00001s864oAAA,7/16/2021,0054v00000E5wVTAAZ,Conveyors,Closed Lost,HVS 3
0014v00002dN6PjAAK,171.55,2/3/2022,0064v00001tlUEtAAM,2/4/2022,0054v00000EeKcBAAV,Shelves & Racks,Closed Won,HVS 1
0016g00000BVwnRAAT,4939.96,2/28/2022,0064v00001tlUIHAA2,2/4/2022,0054v00000Edh3HAAR,Safety Enclosures,Closed Won,HVS 1
0016g00000Lxbw4AAB,1029.23,3/28/2022,0064v00001tm93FAAQ,2/28/2022,0054v00000EEeO8AAL,Parts,Closed Won,HVS 4
0014v00002O6LITAA3,100000,9/30/2021,0064v00001s84zyAAA,7/15/2021,0054v00000EIPG1AAP,Cobot Palletizer,Closed Lost,HVS 3
0016g00000FbbF3AAJ,300,10/29/2021,0064v00001s7FXeAAM,6/16/2021,0054v00000EIPPIAA5,Workstations,Closed Lost,HVS 2
0014v00002O5EReAAN,6430.4,6/17/2021,0064v00001s7E3tAAE,6/15/2021,0056g0000049sqoAAA,Robot Pedestals & Bases,Closed Won,HVS 4
0014v00002QmXowAAF,3500,3/31/2022,0064v00001s88OXAAY,7/19/2021,0054v00000E5wVTAAZ,Bin Picking,Closed Lost,HVS 3
0016g00000BVx0TAAT,800,2/28/2022,0064v00001tlbzFAAQ,2/10/2022,0054v00000EeKcBAAV,Shelves & Racks,Closed Lost,HVS 1
0014v00002dMSMgAAO,100000,7/31/2022,0064v00001tlMW2AAM,1/31/2022,0054v00000EEeP5AAL,Cobot Palletizer,Prospect,HVS 1
0016g00000CWv3TAAT,1200,7/31/2022,0064v00001tlcQPAAY,2/10/2022,0054v00000EEeP5AAL,Jigs & Fixtures,Prospect,HVS 1
0014v00002QnzIeAAJ,0,9/30/2021,0064v00001s8T8PAAU,8/2/2021,0054v00000EIPPmAAP,Robotics - Gantry Robots,Closed Lost,HVS 3
0014v00002dMbi1AAC,3325,7/31/2022,0064v00001tlO3lAAE,2/1/2022,0054v00000E76uaAAB,Workstations,Prospect,HVS 4
0014v00002O6JqhAAF,15000,8/31/2021,0064v00001s7TOCAA2,6/25/2021,0054v00000E6aXUAAZ,Conveyors,Closed Lost,HVS 3
0014v00002QmgcCAAR,807.62,1/28/2022,0064v00001s8ATCAA2,7/20/2021,0054v00000E5wVTAAZ,Custom Machines,Closed Won,HVS 3
0014v00002WICbqAAH,150000,5/1/2022,0064v00001tlIREAA2,1/28/2022,0054v00000Ee0JdAAJ,Cobot Palletizer,Closed Lost,HVS 2
0014v00002O6LwTAAV,100000,11/29/2021,0064v00001s7U8AAAU,6/25/2021,0056g00000572OUAAY,Cartesian Palletizer,Closed Lost,HVS 1
0016g00000CWw8RAAT,1000,8/31/2022,0064v00001tmAeJAAU,3/1/2022,0054v00000EIPPhAAP,Support Structure,Project Discovery,HVS 2
0014v00002KE7fnAAD,5000,12/17/2021,0064v00001s8N8XAAU,7/28/2021,0056g0000050oslAAA,Other Equipment - Other,Closed Lost,HVS 1
0014v00002Jah9qAAB,1500,3/18/2022,0064v00001s7DNsAAM,6/15/2021,0056g0000050oslAAA,Robot Pedestals & Bases,Closed Lost,HVS 1
0016g00000CWwB4AAL,4393.4,3/14/2022,0064v00001tmJSzAAM,3/7/2022,0056g0000049sqhAAA,Robot Pedestals & Bases,Closed Won,Strategic Sales
